Day,Verb,"Expression (EN)","Expression (KR)",Status
"Day 199",climb,"climb the roof",,"한글 번역 없음"
"Day 199",climb,"climb the tower",,"한글 번역 없음"
"Day 199",climb,"climb the wall",,"한글 번역 없음"
"Day 199",enjoy,"I enjoy the fresh air",,"한글 번역 없음"
"Day 199",enjoy,"enjoy the fresh air",,"한글 번역 없음"
"Day 199",enjoy,"enjoy the scenery",,"한글 번역 없음"
"Day 199",enjoy,"enjoy the sight",,"한글 번역 없음"
"Day 199",enjoy,"enjoy the sun",,"한글 번역 없음"
"Day 199",enjoy,"enjoy the sunlight",,"한글 번역 없음"
"Day 199",enjoy,"enjoy the sunshine",,"한글 번역 없음"
"Day 199",enjoy,"enjoy the view",,"한글 번역 없음"
"Day 200",book,"I book the hotel",,"한글 번역 없음"
"Day 200",book,"book the flight",,"한글 번역 없음"
"Day 200",book,"book the hotel",,"한글 번역 없음"
"Day 200",book,"book the room",,"한글 번역 없음"
"Day 200",book,"book the seat",,"한글 번역 없음"
"Day 200",book,"book the ticket",,"한글 번역 없음"
"Day 200",book,"book the train",,"한글 번역 없음"
"Day 200",book,"book the trip",,"한글 번역 없음"
"Day 200","get to","I get to the hot spring",,"한글 번역 없음"
"Day 200","get to","get to school",,"한글 번역 없음"
"Day 200","get to","get to the airport",,"한글 번역 없음"
"Day 200","get to","get to the beach",,"한글 번역 없음"
"Day 200","get to","get to the castle",,"한글 번역 없음"
"Day 200","get to","get to the fork",,"한글 번역 없음"
"Day 200","get to","get to the hot spring",,"한글 번역 없음"
"Day 200","get to","get to work",,"한글 번역 없음"
"Day 200",have,"I have a swim",,"한글 번역 없음"
"Day 200",have,"have a chat",,"한글 번역 없음"
"Day 200",have,"have a drive",,"한글 번역 없음"
"Day 200",have,"have a look",,"한글 번역 없음"
"Day 200",have,"have a sale",,"한글 번역 없음"
"Day 200",have,"have a swim",,"한글 번역 없음"
"Day 200",have,"have a talk",,"한글 번역 없음"
"Day 200",have,"have a walk",,"한글 번역 없음"
"Day 201",walk,"I walk to the park",,"한글 번역 없음"
"Day 201",walk,"walk to school",,"한글 번역 없음"
"Day 201",walk,"walk to the beach",,"한글 번역 없음"
"Day 201",walk,"walk to the bus stop",,"한글 번역 없음"
"Day 201",walk,"walk to the park",,"한글 번역 없음"
"Day 201",walk,"walk to the station",,"한글 번역 없음"
"Day 201",walk,"walk to the store",,"한글 번역 없음"
"Day 201",walk,"walk to work",,"한글 번역 없음"
"Day 201",hear,"I hear the wind",,"한글 번역 없음"
"Day 201",hear,"hear the alarm",,"한글 번역 없음"
"Day 201",hear,"hear the message",,"한글 번역 없음"
"Day 201",hear,"hear the news",,"한글 번역 없음"
"Day 201",hear,"hear the rain",,"한글 번역 없음"
"Day 201",hear,"hear the speech",,"한글 번역 없음"
"Day 201",hear,"hear the story",,"한글 번역 없음"
"Day 201",hear,"hear the wind",,"한글 번역 없음"
"Day 201",cross,"I cross the field",,"한글 번역 없음"
"Day 201",cross,"cross the field",,"한글 번역 없음"
"Day 201",cross,"cross the ocean",,"한글 번역 없음"
"Day 201",cross,"cross the sea",,"한글 번역 없음"
"Day 201",cross,"cross the stream",,"한글 번역 없음"
"Day 201",cross,"cross the threshold",,"한글 번역 없음"
"Day 201",cross,"cross the valley",,"한글 번역 없음"
"Day 201",cross,"cross the water",,"한글 번역 없음"
"Day 202",lie,"I lie on the grass",,"한글 번역 없음"
"Day 202",lie,"lie on the beach",,"한글 번역 없음"
"Day 202",lie,"lie on the grass",,"한글 번역 없음"
"Day 202",lie,"lie on the ground",,"한글 번역 없음"
"Day 202",lie,"lie on the lawn",,"한글 번역 없음"
"Day 202",lie,"lie on the mat",,"한글 번역 없음"
"Day 202",lie,"lie on the road",,"한글 번역 없음"
"Day 202",lie,"lie on the street",,"한글 번역 없음"
"Day 202",see,"I see the squirrel",,"한글 번역 없음"
"Day 202",see,"see the deer",,"한글 번역 없음"
"Day 202",see,"see the duck",,"한글 번역 없음"
"Day 202",see,"see the fox",,"한글 번역 없음"
"Day 202",see,"see the goose",,"한글 번역 없음"
"Day 202",see,"see the hare",,"한글 번역 없음"
"Day 202",see,"see the rabbit",,"한글 번역 없음"
"Day 202",see,"see the squirrel",,"한글 번역 없음"
"Day 202",be,"I am fanastic",,"한글 번역 없음"
"Day 202",be,"be amazing",,"한글 번역 없음"
"Day 202",be,"be awesome",,"한글 번역 없음"
"Day 202",be,"be excellent",,"한글 번역 없음"
"Day 202",be,"be fantastic",,"한글 번역 없음"
"Day 202",be,"be gorgeous",,"한글 번역 없음"
"Day 202",be,"be perfect",,"한글 번역 없음"
"Day 202",be,"be wonderful",,"한글 번역 없음"
"Day 203",take,"I take a photo",,"한글 번역 없음"
"Day 203",take,"take a bow",,"한글 번역 없음"
"Day 203",take,"take a guess",,"한글 번역 없음"
"Day 203",take,"take a photo",,"한글 번역 없음"
"Day 203",take,"take a picture",,"한글 번역 없음"
"Day 203",take,"take a shot",,"한글 번역 없음"
"Day 203",take,"take a snapshot",,"한글 번역 없음"
"Day 203",take,"take a start",,"한글 번역 없음"
"Day 203",watch,"I watch the view",,"한글 번역 없음"
"Day 203",watch,"watch the animal",,"한글 번역 없음"
"Day 203",watch,"watch the bird",,"한글 번역 없음"
"Day 203",watch,"watch the river",,"한글 번역 없음"
"Day 203",watch,"watch the sunrise",,"한글 번역 없음"
"Day 203",watch,"watch the sunset",,"한글 번역 없음"
"Day 203",watch,"watch the view",,"한글 번역 없음"
"Day 203",watch,"watch the weather",,"한글 번역 없음"
"Day 203",protect,"I protect the environment",,"한글 번역 없음"
"Day 203",protect,"protect the children",,"한글 번역 없음"
"Day 203",protect,"protect the community",,"한글 번역 없음"
"Day 203",protect,"protect the consumer",,"한글 번역 없음"
"Day 203",protect,"protect the country",,"한글 번역 없음"
"Day 203",protect,"protect the environment",,"한글 번역 없음"
"Day 203",protect,"protect the family",,"한글 번역 없음"
"Day 203",protect,"protect the team",,"한글 번역 없음"
"Day 204",have,"I have a good time",,"한글 번역 없음"
"Day 204",have,"have a good night",,"한글 번역 없음"
"Day 204",have,"have a good time",,"한글 번역 없음"
"Day 204",have,"have a good weekend",,"한글 번역 없음"
"Day 204",have,"have a nice day",,"한글 번역 없음"
"Day 204",have,"have a nice flight",,"한글 번역 없음"
"Day 204",have,"have a nice holiday",,"한글 번역 없음"
"Day 204",have,"have a nice trip",,"한글 번역 없음"
"Day 204",forget,"I forget about the past",,"한글 번역 없음"
"Day 204",forget,"forget about the cold",,"한글 번역 없음"
"Day 204",forget,"forget about the future",,"한글 번역 없음"
"Day 204",forget,"forget about the heat",,"한글 번역 없음"
"Day 204",forget,"forget about the matter",,"한글 번역 없음"
"Day 204",forget,"forget about the mission",,"한글 번역 없음"
"Day 204",forget,"forget about the past",,"한글 번역 없음"
"Day 204",forget,"forget about the problem",,"한글 번역 없음"
"Day 204",recover,"I recover from the stress",,"한글 번역 없음"
"Day 204",recover,"recover from the accident",,"한글 번역 없음"
"Day 204",recover,"recover from the disaster",,"한글 번역 없음"
"Day 204",recover,"recover from the failure",,"한글 번역 없음"
"Day 204",recover,"recover from the fatigue",,"한글 번역 없음"
"Day 204",recover,"recover from the loss",,"한글 번역 없음"
"Day 204",recover,"recover from the shock",,"한글 번역 없음"
"Day 204",recover,"recover from the stress",,"한글 번역 없음"
"Day 205",find,"I find the bus stop",,"한글 번역 없음"
"Day 205",find,"find the bank",,"한글 번역 없음"
"Day 205",find,"find the bus stop",,"한글 번역 없음"
"Day 205",find,"find the drugstore",,"한글 번역 없음"
"Day 205",find,"find the hospital",,"한글 번역 없음"
"Day 205",find,"find the pharmacy",,"한글 번역 없음"
"Day 205",find,"find the post office",,"한글 번역 없음"
"Day 205",find,"find the taxi stand",,"한글 번역 없음"
"Day 205",wait,"I wait for the bus",,"한글 번역 없음"
"Day 205",wait,"wait for the bus",,"한글 번역 없음"
"Day 205",wait,"wait for the class",,"한글 번역 없음"
"Day 205",wait,"wait for the event",,"한글 번역 없음"
"Day 205",wait,"wait for the light",,"한글 번역 없음"
"Day 205",wait,"wait for the subway",,"한글 번역 없음"
"Day 205",wait,"wait for the train",,"한글 번역 없음"
"Day 205",wait,"wait for the turn",,"한글 번역 없음"
"Day 205",get,"I get on the bus",,"한글 번역 없음"
"Day 205",get,"get on the boat",,"한글 번역 없음"
"Day 205",get,"get on the bus",,"한글 번역 없음"
"Day 205",get,"get on the elevator",,"한글 번역 없음"
"Day 205",get,"get on the plane",,"한글 번역 없음"
"Day 205",get,"get on the ship",,"한글 번역 없음"
"Day 205",get,"get on the subway",,"한글 번역 없음"
"Day 205",get,"get on the train",,"한글 번역 없음"
"Day 206",have,"I have a problem",,"한글 번역 없음"
"Day 206",have,"have a fright",,"한글 번역 없음"
"Day 206",have,"have a problem",,"한글 번역 없음"
"Day 206",have,"have a shock",,"한글 번역 없음"
"Day 206",have,"have an accident",,"한글 번역 없음"
"Day 206",have,"have difficulty",,"한글 번역 없음"
"Day 206",have,"have fun",,"한글 번역 없음"
"Day 206",have,"have trouble",,"한글 번역 없음"
"Day 206",be,"I am unlucky",,"한글 번역 없음"
"Day 206",be,"be angry",,"한글 번역 없음"
"Day 206",be,"be lucky",,"한글 번역 없음"
"Day 206",be,"be right",,"한글 번역 없음"
"Day 206",be,"be strange",,"한글 번역 없음"
"Day 206",be,"be terrible",,"한글 번역 없음"
"Day 206",be,"be unlucky",,"한글 번역 없음"
"Day 206",be,"be wrong",,"한글 번역 없음"
"Day 206",get,"I get stuck in traffic",,"한글 번역 없음"
"Day 206",get,"get broken",,"한글 번역 없음"
"Day 206",get,"get chosen",,"한글 번역 없음"
"Day 206",get,"get drunk",,"한글 번역 없음"
"Day 206",get,"get hurt",,"한글 번역 없음"
"Day 206",get,"get lost",,"한글 번역 없음"
"Day 206",get,"get stolen",,"한글 번역 없음"
"Day 206",get,"get stuck",,"한글 번역 없음"
"Day 207",deal,"I deal with the delay",,"한글 번역 없음"
"Day 207",deal,"deal with the complaint",,"한글 번역 없음"
"Day 207",deal,"deal with the damage",,"한글 번역 없음"
"Day 207",deal,"deal with the delay",,"한글 번역 없음"
"Day 207",deal,"deal with the fear",,"한글 번역 없음"
"Day 207",deal,"deal with the mess",,"한글 번역 없음"
"Day 207",deal,"deal with the pain",,"한글 번역 없음"
"Day 207",deal,"deal with the stress",,"한글 번역 없음"
"Day 207",send,"I send the text",,"한글 번역 없음"
"Day 207",send,"send the bill",,"한글 번역 없음"
"Day 207",send,"send the form",,"한글 번역 없음"
"Day 207",send,"send the greeting",,"한글 번역 없음"
"Day 207",send,"send the information",,"한글 번역 없음"
"Day 207",send,"send the link",,"한글 번역 없음"
"Day 207",send,"send the schedule",,"한글 번역 없음"
"Day 207",send,"send the text",,"한글 번역 없음"
"Day 207",inform,"I inform of the delay",,"한글 번역 없음"
"Day 207",inform,"inform of the change",,"한글 번역 없음"
"Day 207",inform,"inform of the date",,"한글 번역 없음"
"Day 207",inform,"inform of the decision",,"한글 번역 없음"
"Day 207",inform,"inform of the delay",,"한글 번역 없음"
"Day 207",inform,"inform of the result",,"한글 번역 없음"
"Day 207",inform,"inform of the situation",,"한글 번역 없음"
"Day 207",inform,"inform of the time",,"한글 번역 없음"
"Day 208",stand,"I stand in the front",,"한글 번역 없음"
"Day 208",stand,"stand in the back",,"한글 번역 없음"
"Day 208",stand,"stand in the center",,"한글 번역 없음"
"Day 208",stand,"stand in the corner",,"한글 번역 없음"
"Day 208",stand,"stand in the doorway",,"한글 번역 없음"
"Day 208",stand,"stand in the front",,"한글 번역 없음"
"Day 208",stand,"stand in the hallway",,"한글 번역 없음"
"Day 208",stand,"stand in the middle",,"한글 번역 없음"
"Day 208",move,"I move to the exit",,"한글 번역 없음"
"Day 208",move,"move to the back",,"한글 번역 없음"
"Day 208",move,"move to the center",,"한글 번역 없음"
"Day 208",move,"move to the country",,"한글 번역 없음"
"Day 208",move,"move to the exit",,"한글 번역 없음"
"Day 208",move,"move to the front",,"한글 번역 없음"
"Day 208",move,"move to the left",,"한글 번역 없음"
"Day 208",move,"move to the right",,"한글 번역 없음"
"Day 208","get off","I get off the bus",,"한글 번역 없음"
"Day 208","get off","get off the boat",,"한글 번역 없음"
"Day 208","get off","get off the bus",,"한글 번역 없음"
"Day 208","get off","get off the elevator",,"한글 번역 없음"
"Day 208","get off","get off the plane",,"한글 번역 없음"
"Day 208","get off","get off the ship",,"한글 번역 없음"
"Day 208","get off","get off the subway",,"한글 번역 없음"
"Day 208","get off","get off the train",,"한글 번역 없음"
"Day 209","go to","I go to the station",,"한글 번역 없음"
"Day 209","go to","go to the bus stop",,"한글 번역 없음"
"Day 209","go to","go to the hotel",,"한글 번역 없음"
"Day 209","go to","go to the mall",,"한글 번역 없음"
"Day 209","go to","go to the station",,"한글 번역 없음"
"Day 209","go to","go to the store",,"한글 번역 없음"
"Day 209","go to","go to the taxi stand",,"한글 번역 없음"
"Day 209","go to","go to the zoo",,"한글 번역 없음"
"Day 209",get,"I get a ticket",,"한글 번역 없음"
"Day 209",get,"get a job",,"한글 번역 없음"
"Day 209",get,"get a lift",,"한글 번역 없음"
"Day 209",get,"get a loan",,"한글 번역 없음"
"Day 209",get,"get a ride",,"한글 번역 없음"
"Day 209",get,"get a sample",,"한글 번역 없음"
"Day 209",get,"get a ticket",,"한글 번역 없음"
"Day 209",get,"get an example",,"한글 번역 없음"
"Day 209",catch,"I catch the train",,"한글 번역 없음"
"Day 209",catch,"catch the bus",,"한글 번역 없음"
"Day 209",catch,"catch the flight",,"한글 번역 없음"
"Day 209",catch,"catch the plane",,"한글 번역 없음"
"Day 209",catch,"catch the ride",,"한글 번역 없음"
"Day 209",catch,"catch the subway",,"한글 번역 없음"
"Day 209",catch,"catch the taxi",,"한글 번역 없음"
"Day 209",catch,"catch the train",,"한글 번역 없음"
"Day 210",call,"I call the taxi",,"한글 번역 없음"
"Day 210",call,"call the ambulance",,"한글 번역 없음"
"Day 210",call,"call the company",,"한글 번역 없음"
"Day 210",call,"call the doctor",,"한글 번역 없음"
"Day 210",call,"call the front desk",,"한글 번역 없음"
"Day 210",call,"call the office",,"한글 번역 없음"
"Day 210",call,"call the police",,"한글 번역 없음"
"Day 210",call,"call the taxi",,"한글 번역 없음"
"Day 210",load,"I load the bag",,"한글 번역 없음"
"Day 210",load,"load the bag",,"한글 번역 없음"
"Day 210",load,"load the car",,"한글 번역 없음"
"Day 210",load,"load the dishwasher",,"한글 번역 없음"
"Day 210",load,"load the gun",,"한글 번역 없음"
"Day 210",load,"load the luggage",,"한글 번역 없음"
"Day 210",load,"load the ship",,"한글 번역 없음"
"Day 210",load,"load the truck",,"한글 번역 없음"
"Day 210",get,"I get in the taxi",,"한글 번역 없음"
"Day 210",get,"get in bed",,"한글 번역 없음"
"Day 210",get,"get in the car",,"한글 번역 없음"
"Day 210",get,"get in the house",,"한글 번역 없음"
"Day 210",get,"get in the pool",,"한글 번역 없음"
"Day 210",get,"get in the room",,"한글 번역 없음"
"Day 210",get,"get in the taxi",,"한글 번역 없음"
"Day 210",get,"get in trouble",,"한글 번역 없음"
"Day 211","sit in","I sit in the front",,"한글 번역 없음"
"Day 211","sit in","sit in the back",,"한글 번역 없음"
"Day 211","sit in","sit in the center",,"한글 번역 없음"
"Day 211","sit in","sit in the corner",,"한글 번역 없음"
"Day 211","sit in","sit in the doorway",,"한글 번역 없음"
"Day 211","sit in","sit in the front",,"한글 번역 없음"
"Day 211","sit in","sit in the hallway",,"한글 번역 없음"
"Day 211","sit in","sit in the middle",,"한글 번역 없음"
"Day 211",fasten,"I fasten the seat belt",,"한글 번역 없음"
"Day 211",fasten,"fasten the belt",,"한글 번역 없음"
"Day 211",fasten,"fasten the button",,"한글 번역 없음"
"Day 211",fasten,"fasten the door",,"한글 번역 없음"
"Day 211",fasten,"fasten the ends",,"한글 번역 없음"
"Day 211",fasten,"fasten the gate",,"한글 번역 없음"
"Day 211",fasten,"fasten the seat belt",,"한글 번역 없음"
"Day 211",fasten,"fasten the strap",,"한글 번역 없음"
"Day 211","talk to","I talk to the driver",,"한글 번역 없음"
"Day 211","talk to","talk to the customer",,"한글 번역 없음"
"Day 211","talk to","talk to the driver",,"한글 번역 없음"
"Day 211","talk to","talk to the guide",,"한글 번역 없음"
"Day 211","talk to","talk to the manager",,"한글 번역 없음"
"Day 211","talk to","talk to the neighbor",,"한글 번역 없음"
"Day 211","talk to","talk to the student",,"한글 번역 없음"
"Day 211","talk to","talk to the waiter",,"한글 번역 없음"
"Day 212",reach,"I reach the destination",,"한글 번역 없음"
"Day 212",reach,"reach the agreement",,"한글 번역 없음"
"Day 212",reach,"reach the conclusion",,"한글 번역 없음"
"Day 212",reach,"reach the destination",,"한글 번역 없음"
"Day 212",reach,"reach the goal",,"한글 번역 없음"
"Day 212",reach,"reach the school",,"한글 번역 없음"
"Day 212",reach,"reach the station",,"한글 번역 없음"
"Day 212",reach,"reach the top",,"한글 번역 없음"
"Day 212",pay,"I pay the fare",,"한글 번역 없음"
"Day 212",pay,"pay the bill",,"한글 번역 없음"
"Day 212",pay,"pay the fare",,"한글 번역 없음"
"Day 212",pay,"pay the fee",,"한글 번역 없음"
"Day 212",pay,"pay the money",,"한글 번역 없음"
"Day 212",pay,"pay the price",,"한글 번역 없음"
"Day 212",pay,"pay the rent",,"한글 번역 없음"
"Day 212",pay,"pay the tax",,"한글 번역 없음"
"Day 212","get out","I get out of the taxi",,"한글 번역 없음"
"Day 212","get out","get out of bed",,"한글 번역 없음"
"Day 212","get out","get out of the car",,"한글 번역 없음"
"Day 212","get out","get out of the city",,"한글 번역 없음"
"Day 212","get out","get out of the house",,"한글 번역 없음"
"Day 212","get out","get out of the room",,"한글 번역 없음"
"Day 212","get out","get out of the taxi",,"한글 번역 없음"
"Day 212","get out","get out of trouble",,"한글 번역 없음"
"Day 213","get to","I get to the farm",,"한글 번역 없음"
"Day 213","get to","get to the destination",,"한글 번역 없음"
"Day 213","get to","get to the dorm",,"한글 번역 없음"
"Day 213","get to","get to the farm",,"한글 번역 없음"
"Day 213","get to","get to the hotel",,"한글 번역 없음"
"Day 213","get to","get to the mall",,"한글 번역 없음"
"Day 213","get to","get to the museum",,"한글 번역 없음"
"Day 213","get to","get to the park",,"한글 번역 없음"
"Day 213",see,"I see the cow",,"한글 번역 없음"
"Day 213",see,"see the bull",,"한글 번역 없음"
"Day 213",see,"see the cock",,"한글 번역 없음"
"Day 213",see,"see the cow",,"한글 번역 없음"
"Day 213",see,"see the hen",,"한글 번역 없음"
"Day 213",see,"see the hog",,"한글 번역 없음"
"Day 213",see,"see the ox",,"한글 번역 없음"
"Day 213",see,"see the pig",,"한글 번역 없음"
"Day 213",be,"I am relaxed",,"한글 번역 없음"
"Day 213",be,"be beautiful",,"한글 번역 없음"
"Day 213",be,"be bright",,"한글 번역 없음"
"Day 213",be,"be cold",,"한글 번역 없음"
"Day 213",be,"be cool",,"한글 번역 없음"
"Day 213",be,"be fresh",,"한글 번역 없음"
"Day 213",be,"be relaxed",,"한글 번역 없음"
"Day 213",be,"be warm",,"한글 번역 없음"
"Day 214",talk,"I talk about the trip",,"한글 번역 없음"
"Day 214",talk,"talk about the dream",,"한글 번역 없음"
"Day 214",talk,"talk about the future",,"한글 번역 없음"
"Day 214",talk,"talk about the news",,"한글 번역 없음"
"Day 214",talk,"talk about the plan",,"한글 번역 없음"
"Day 214",talk,"talk about the problem",,"한글 번역 없음"
"Day 214",talk,"talk about the schedule",,"한글 번역 없음"
"Day 214",talk,"talk about the trip",,"한글 번역 없음"
"Day 214",write,"I write the plan",,"한글 번역 없음"
"Day 214",write,"write the draft",,"한글 번역 없음"
"Day 214",write,"write the headline",,"한글 번역 없음"
"Day 214",write,"write the plan",,"한글 번역 없음"
"Day 214",write,"write the project",,"한글 번역 없음"
"Day 214",write,"write the review",,"한글 번역 없음"
"Day 214",write,"write the rule",,"한글 번역 없음"
"Day 214",write,"write the speech",,"한글 번역 없음"
"Day 214",explain,"I explain the schedule",,"한글 번역 없음"
"Day 214",explain,"explain the details",,"한글 번역 없음"
"Day 214",explain,"explain the example",,"한글 번역 없음"
"Day 214",explain,"explain the fact",,"한글 번역 없음"
"Day 214",explain,"explain the history",,"한글 번역 없음"
"Day 214",explain,"explain the method",,"한글 번역 없음"
"Day 214",explain,"explain the schedule",,"한글 번역 없음"
"Day 214",explain,"explain the steps",,"한글 번역 없음"
"Day 215",take,"I take a trip",,"한글 번역 없음"
"Day 215",take,"take a flight",,"한글 번역 없음"
"Day 215",take,"take a holiday",,"한글 번역 없음"
"Day 215",take,"take a leave",,"한글 번역 없음"
"Day 215",take,"take a tour",,"한글 번역 없음"
"Day 215",take,"take a trip",,"한글 번역 없음"
"Day 215",take,"take a vacatioon",,"한글 번역 없음"
"Day 215",take,"take a voyage",,"한글 번역 없음"
"Day 215",have,"I have a passport",,"한글 번역 없음"
"Day 215",have,"have a company",,"한글 번역 없음"
"Day 215",have,"have a degree",,"한글 번역 없음"
"Day 215",have,"have a license",,"한글 번역 없음"
"Day 215",have,"have a passport",,"한글 번역 없음"
"Day 215",have,"have a permit",,"한글 번역 없음"
"Day 215",have,"have a pet",,"한글 번역 없음"
"Day 215",have,"have money",,"한글 번역 없음"
"Day 215",need,"I need a visa",,"한글 번역 없음"
"Day 215",need,"need a change",,"한글 번역 없음"
"Day 215",need,"need a hand",,"한글 번역 없음"
"Day 215",need,"need a nap",,"한글 번역 없음"
"Day 215",need,"need a place",,"한글 번역 없음"
"Day 215",need,"need a shave",,"한글 번역 없음"
"Day 215",need,"need a shower",,"한글 번역 없음"
"Day 215",need,"need a visa",,"한글 번역 없음"
"Day 216",pack,"I pack my baggage",,"한글 번역 없음"
"Day 216",pack,"pack the baggage",,"한글 번역 없음"
"Day 216",pack,"pack the camera",,"한글 번역 없음"
"Day 216",pack,"pack the dress",,"한글 번역 없음"
"Day 216",pack,"pack the luggage",,"한글 번역 없음"
"Day 216",pack,"pack the medicine",,"한글 번역 없음"
"Day 216",pack,"pack the raincoat",,"한글 번역 없음"
"Day 216",pack,"pack the shoes",,"한글 번역 없음"
"Day 216","put in","I put in the suitcase",,"한글 번역 없음"
"Day 216","put in","put in the fridge",,"한글 번역 없음"
"Day 216","put in","put in the machine",,"한글 번역 없음"
"Day 216","put in","put in the microwave",,"한글 번역 없음"
"Day 216","put in","put in the oven",,"한글 번역 없음"
"Day 216","put in","put in the safe",,"한글 번역 없음"
"Day 216","put in","put in the suitcase",,"한글 번역 없음"
"Day 216","put in","put in the trunk",,"한글 번역 없음"
"Day 216",get,"I get prepared",,"한글 번역 없음"
"Day 216",get,"get burned",,"한글 번역 없음"
"Day 216",get,"get cleaned",,"한글 번역 없음"
"Day 216",get,"get cooked",,"한글 번역 없음"
"Day 216",get,"get deleted",,"한글 번역 없음"
"Day 216",get,"get organized",,"한글 번역 없음"
"Day 216",get,"get prepared",,"한글 번역 없음"
"Day 216",get,"get washed",,"한글 번역 없음"
"Day 217",know,"I know the way",,"한글 번역 없음"
"Day 217",know,"know the fact",,"한글 번역 없음"
"Day 217",know,"know the limit",,"한글 번역 없음"
"Day 217",know,"know the position",,"한글 번역 없음"
"Day 217",know,"know the problem",,"한글 번역 없음"
"Day 217",know,"know the result",,"한글 번역 없음"
"Day 217",know,"know the truth",,"한글 번역 없음"
"Day 217",know,"know the way",,"한글 번역 없음"
"Day 217",tell,"I tell the direction",,"한글 번역 없음"
"Day 217",tell,"tell the direction",,"한글 번역 없음"
"Day 217",tell,"tell the fact",,"한글 번역 없음"
"Day 217",tell,"tell the meaning",,"한글 번역 없음"
"Day 217",tell,"tell the message",,"한글 번역 없음"
"Day 217",tell,"tell the plan",,"한글 번역 없음"
"Day 217",tell,"tell the result",,"한글 번역 없음"
"Day 217",tell,"tell the rule",,"한글 번역 없음"
"Day 217",arrive,"I arrive at the airport",,"한글 번역 없음"
"Day 217",arrive,"arrive at the airport",,"한글 번역 없음"
"Day 217",arrive,"arrive at the beach",,"한글 번역 없음"
"Day 217",arrive,"arrive at the destination",,"한글 번역 없음"
"Day 217",arrive,"arrive at the library",,"한글 번역 없음"
"Day 217",arrive,"arrive at the museum",,"한글 번역 없음"
"Day 217",arrive,"arrive at the scene",,"한글 번역 없음"
"Day 217",arrive,"arrive at the theater",,"한글 번역 없음"
"Day 218",bring,"I bring the baggage",,"한글 번역 없음"
"Day 218",bring,"bring the baggage",,"한글 번역 없음"
"Day 218",bring,"bring the bottle",,"한글 번역 없음"
"Day 218",bring,"bring the cake",,"한글 번역 없음"
"Day 218",bring,"bring the luggage",,"한글 번역 없음"
"Day 218",bring,"bring the passport",,"한글 번역 없음"
"Day 218",bring,"bring the picture",,"한글 번역 없음"
"Day 218",bring,"bring the umbrella",,"한글 번역 없음"
"Day 218",find,"I find the escalator",,"한글 번역 없음"
"Day 218",find,"find the bathroom",,"한글 번역 없음"
"Day 218",find,"find the elevator",,"한글 번역 없음"
"Day 218",find,"find the escalator",,"한글 번역 없음"
"Day 218",find,"find the pay phone",,"한글 번역 없음"
"Day 218",find,"find the restroom",,"한글 번역 없음"
"Day 218",find,"find the stairway",,"한글 번역 없음"
"Day 218",find,"find the toilet",,"한글 번역 없음"
"Day 218",lift,"I lift my suitcase",,"한글 번역 없음"
"Day 218",lift,"lift the baby",,"한글 번역 없음"
"Day 218",lift,"lift the bag",,"한글 번역 없음"
"Day 218",lift,"lift the box",,"한글 번역 없음"
"Day 218",lift,"lift the camera",,"한글 번역 없음"
"Day 218",lift,"lift the lid",,"한글 번역 없음"
"Day 218",lift,"lift the spirits",,"한글 번역 없음"
"Day 218",lift,"lift the suitcase",,"한글 번역 없음"
"Day 219",ride,"I ride the escalator",,"한글 번역 없음"
"Day 219",ride,"ride the camel",,"한글 번역 없음"
"Day 219",ride,"ride the elephant",,"한글 번역 없음"
"Day 219",ride,"ride the elevator",,"한글 번역 없음"
"Day 219",ride,"ride the escalator",,"한글 번역 없음"
"Day 219",ride,"ride the kickboard",,"한글 번역 없음"
"Day 219",ride,"ride the scooter",,"한글 번역 없음"
"Day 219",ride,"ride the slide",,"한글 번역 없음"
"Day 219","go to","I go to the checkin counter",,"한글 번역 없음"
"Day 219","go to","go to the basement",,"한글 번역 없음"
"Day 219","go to","go to the counter",,"한글 번역 없음"
"Day 219","go to","go to the entrance",,"한글 번역 없음"
"Day 219","go to","go to the exit",,"한글 번역 없음"
"Day 219","go to","go to the garage",,"한글 번역 없음"
"Day 219","go to","go to the stairs",,"한글 번역 없음"
"Day 219","go to","go to the storage",,"한글 번역 없음"
"Day 219",check,"I check in my baggage",,"한글 번역 없음"
"Day 219",check,"check in the bag",,"한글 번역 없음"
"Day 219",check,"check in the baggage",,"한글 번역 없음"
"Day 219",check,"check in the items",,"한글 번역 없음"
"Day 219",check,"check in the luggage",,"한글 번역 없음"
"Day 219",check,"check in the package",,"한글 번역 없음"
"Day 219",check,"check in the passenger",,"한글 번역 없음"
"Day 219",check,"check in the suitcase",,"한글 번역 없음"
"Day 220",travel,"I travel frequently",,"한글 번역 없음"
"Day 220",travel,"travel abroad",,"한글 번역 없음"
"Day 220",travel,"travel cheaply",,"한글 번역 없음"
"Day 220",travel,"travel comfortably",,"한글 번역 없음"
"Day 220",travel,"travel frequently",,"한글 번역 없음"
"Day 220",travel,"travel occasionally",,"한글 번역 없음"
"Day 220",travel,"travel safely",,"한글 번역 없음"
"Day 220",travel,"travel widely",,"한글 번역 없음"
"Day 220",hold,"I hold my passport",,"한글 번역 없음"
"Day 220",hold,"hold the card",,"한글 번역 없음"
"Day 220",hold,"hold the license",,"한글 번역 없음"
"Day 220",hold,"hold the passport",,"한글 번역 없음"
"Day 220",hold,"hold the permit",,"한글 번역 없음"
"Day 220",hold,"hold the record",,"한글 번역 없음"
